,Country,YEAR1,GDPG,GDP,BB,INFL,SACW,GOVC,ETHNF,ASSAS,ICRGE,M2-1,SSA,EASIA,LPOP,EGYPT,CENTAM,FRZ,ARMS-1,DN1900,EDA,BEDA,MEDA,WBEDA,POPDEP
1018,SURINAME,1978-81,-0.09048415071128968,3823.0,-0.4778487057429701,10.980529932256843,,22.55918282264848,,,,,0,0,,,,,,1,,,,,
1019,SURINAME,1982-85,15.931542420387036,3727.0,-14.535203920228684,6.319644126686352,,28.926748926139933,,,,,0,0,,,,,,1,,,,,
1020,SURINAME,1986-89,5.884818518393109,3353.0,-25.013468013468014,16.935254017237167,,35.23844929777075,,,,,0,0,,,,,,1,,,,,
1021,SURINAME,1990-93,0.5277614510159623,,,41.99715755339104,,23.983370204557808,,,,,0,0,,,,,,1,,,,,
1022,SWAZILAND,1966-69,6.09325034548438,1824.0,,2.870569438549675,,18.761707778976504,,,,,1,0,,,,,,1,,,,,
1023,SWAZILAND,1970-73,4.832441552973954,2531.0,-4.311060651316356,4.347780787399513,,18.915331626600473,,0.0,,,1,0,12.988138029762998,0.0,0.0,0.0,0.0,1,1.891392119568859,1.4064698974547396,0.4849222221141194,0.0,93.34079999999999
1024,SWAZILAND,1974-77,-1.6344312376371128,2240.0,0.5580669060919194,13.559441968982512,,18.86265994264994,,0.0,,,1,0,13.101735069327573,0.0,0.0,0.0,0.0,1,1.886958474919602,1.1564990116932694,0.7304594632263324,0.03734027855159198,94.12734999999999
1025,SWAZILAND,1978-81,2.47984460098456,2842.0,-3.7683224579580177,14.703618455342237,,20.538058169995473,,0.0,,35.841663150858444,1,0,13.222504143842993,0.0,0.0,0.0,0.0,1,2.156442856477718,1.271973571763223,0.8844692847144947,0.025483225977087548,95.585675
1026,SWAZILAND,1982-85,-0.15274375889076097,2845.0,-3.1366833849340097,12.99843838260869,,21.59824581493775,,0.0,,33.10713714661733,1,0,13.358135649678438,0.0,0.0,0.0,0.0,1,1.9957608110230118,1.2964550329580504,0.6993057780649613,0.009652738650235042,100.388525
1027,SWAZILAND,1986-89,1.9404304577721687,2236.0,1.4605210933580106,11.267691802719204,,17.2835798969197,,0.0,,34.7990245881693,1,0,13.497207752955822,0.0,0.0,0.0,0.0,1,2.14098414091618,1.417509596790496,0.7234745441256838,-0.011087405366313743,97.24440000000001
1028,SWAZILAND,1990-93,-1.6166143492698293,,1.2526055162718754,11.078273696154595,,21.903407122099683,,0.0,,32.19572995370401,1,0,13.63628041781404,0.0,0.0,0.0,0.0,1,2.0974797352905488,1.2696006514958162,0.8278790837947325,-0.0008405028907888246,89.6406
1029,SWEDEN,1966-69,2.676657366456947,9486.0,1.0710774063235333,3.747198729187906,1.0,20.16792418312573,,,,,0,0,,,,,,1,,,,,
1030,SWEDEN,1970-73,2.868781284985644,10766.0,-1.4184636245591835,6.562927275912022,1.0,22.660147869092164,,,,,0,0,,,,,,1,,,,,
1031,SWEDEN,1974-77,0.854280713599076,11697.0,-1.8805260546271443,9.86000167001878,1.0,25.203351448423273,,,,,0,0,,,,,,1,,,,,
1032,SWEDEN,1978-81,1.502739862252156,11812.0,-7.24187191171798,10.173072277248373,1.0,28.9672461468427,,,,,0,0,,,,,,1,,,,,
1033,SWEDEN,1982-85,2.103082423393543,12475.0,-8.22366968310278,7.896561192819506,1.0,28.57511774034768,,,,,0,0,,,,,,1,,,,,
1034,SWEDEN,1986-89,1.9745335701688127,13725.0,-1.017016031652905,5.039386571669535,1.0,26.59874066331843,,,,,0,0,,,,,,1,,,,,
1035,SWEDEN,1990-93,-1.4715001808343509,14762.0,-4.885091687043981,6.4202168803402015,1.0,27.627987242216996,,,,,0,0,,,,,,1,,,,,
1036,SWITZERLAND,1966-69,2.5154959871818594,11307.0,-0.25203423693128557,3.362598465265554,1.0,10.399423153655214,,,,,0,0,,,,,,1,,,,,
1037,SWITZERLAND,1970-73,3.4446701291444892,12942.0,-0.4150683352989718,6.189695457805833,1.0,10.880950153385461,,,,,0,0,,,,,,1,,,,,
1038,SWITZERLAND,1974-77,-1.4928688654200162,14091.0,-0.9355128435480536,4.694736183167492,1.0,12.594465086425469,,,,,0,0,,,,,,1,,,,,
1039,SWITZERLAND,1978-81,2.0778066702052733,13183.0,-0.5943299847596963,3.7161125920567084,1.0,12.820207883602446,,,,,0,0,,,,,,1,,,,,
1040,SWITZERLAND,1982-85,0.6908659734654599,14146.0,-0.22038726984995272,3.6709119703735693,1.0,13.292149736515062,,,,,0,0,,,,,,1,,,,,
1041,SWITZERLAND,1986-89,1.9790722966120278,15251.0,0.5073865169365427,1.7848724950205508,1.0,12.973796825300935,,,,,0,0,,,,,,1,,,,,
1042,SWITZERLAND,1990-93,-0.7393527085377993,16505.0,-0.9358041830829157,4.546502579645995,1.0,13.977310557736661,,,,,0,0,,,,,,1,,,,,
